date,open,high,low,close,volume,category,company_name
15-04-2020,27.1,27.64,26.75,27.51,15811322,Social Media,Twitter
14-04-2020,28,28.41,27.6,27.94,13749260,Social Media,Twitter
13-04-2020,27.55,27.62,26.24,27.21,15036500,Social Media,Twitter
09-04-2020,28.48,29.05,27.28,27.77,22201835,Social Media,Twitter
08-04-2020,26.785,28.46,25.92,27.86,31216966,Social Media,Twitter
07-04-2020,25.97,26.86,25.3102,25.61,25814247,Social Media,Twitter
06-04-2020,24.1,25.05,23.79,24.93,25963479,Social Media,Twitter
03-04-2020,24.1,24.32,22.75,23.09,24995184,Social Media,Twitter
02-04-2020,23,23.58,22.36,23.02,17073405,Social Media,Twitter
01-04-2020,23.7,24.3942,23.05,23.32,20011734,Social Media,Twitter
24-04-2020,15.94,16.22,15.58,16,65086589,Social Media,Snapchat
23-04-2020,16.51,16.86,16.03,16.06,89140879,Social Media,Snapchat
22-04-2020,15.18,17.15,14.85,17.01,170706607,Social Media,Snapchat
21-04-2020,12.71,13.04,12.44,12.44,45741459,Social Media,Snapchat
20-04-2020,12.77,13.335,12.52,12.92,25945134,Social Media,Snapchat
17-04-2020,13.2,13.465,12.84,12.98,21347565,Social Media,Snapchat
16-04-2020,13.63,13.65,12.63,13.02,31903082,Social Media,Snapchat
15-04-2020,13.46,13.69,13.37,13.58,17855233,Social Media,Snapchat
14-04-2020,13.7,14.09,13.55,13.78,18255259,Social Media,Snapchat
13-04-2020,13.69,13.82,13.16,13.54,16708897,Social Media,Snapchat
09-04-2020,13.52,13.87,13.21,13.61,30734562,Social Media,Snapchat
08-04-2020,12.57,13.45,12.5,13.22,29882654,Social Media,Snapchat
07-04-2020,12.6,12.73,12.01,12.1,26203438,Social Media,Snapchat
06-04-2020,11.47,12.25,11.32,12.16,23928058,Social Media,Snapchat
03-04-2020,11.3,11.4498,10.85,11.06,16537657,Social Media,Snapchat
02-04-2020,11.18,11.8183,11.0221,11.27,19902663,Social Media,Snapchat
01-04-2020,11.32,11.69,10.98,11.21,25538446,Social Media,Snapchat
24-04-2020,155.57,156.3,153.64,154.86,8325232,Healthcare,Johnson & Johnson
23-04-2020,154.25,157,153.6988,155.51,10692667,Healthcare,Johnson & Johnson
22-04-2020,152.81,155,151.73,152.99,11500550,Healthcare,Johnson & Johnson
21-04-2020,150.12,151.64,148.57,149.68,9944599,Healthcare,Johnson & Johnson
20-04-2020,150.93,153,150.09,151.67,12222908,Healthcare,Johnson & Johnson
17-04-2020,151.99,152.3,149.6,152.02,10916140,Healthcare,Johnson & Johnson
16-04-2020,148.31,150.68,146.44,149.67,12152056,Healthcare,Johnson & Johnson
15-04-2020,145.55,147.91,143.54,147.66,11950329,Healthcare,Johnson & Johnson
14-04-2020,145.42,147.42,144.05,146.03,13821935,Healthcare,Johnson & Johnson
13-04-2020,140,141.4899,137.8404,139.77,8137084,Healthcare,Johnson & Johnson
09-04-2020,144.01,145.42,140.28,141.23,11122962,Healthcare,Johnson & Johnson
08-04-2020,137.75,144.13,137.3,143.26,10755259,Healthcare,Johnson & Johnson
07-04-2020,139.86,142.03,137.26,137.48,11558850,Healthcare,Johnson & Johnson
06-04-2020,137.01,140.97,135.54,139.76,14988342,Healthcare,Johnson & Johnson
03-04-2020,132.38,134.785,131.58,134.17,10068187,Healthcare,Johnson & Johnson
02-04-2020,129.12,134,127.22,133.15,11590925,Healthcare,Johnson & Johnson
01-04-2020,127.7,130.23,125.5,128.81,12602084,Healthcare,Johnson & Johnson
24-04-2020,36.84,37.429,36.785,37.38,16316275,Healthcare,Pfizer
23-04-2020,36.28,37.4,36.28,36.69,19215681,Healthcare,Pfizer
22-04-2020,36.96,37,36.12,36.25,19147625,Healthcare,Pfizer
21-04-2020,35.78,35.93,35.37,35.62,22744431,Healthcare,Pfizer
20-04-2020,36.38,36.91,36.08,36.08,21365134,Healthcare,Pfizer
17-04-2020,36.5,37,36.11,36.91,23150510,Healthcare,Pfizer
16-04-2020,36.12,36.26,35.575,35.88,19554970,Healthcare,Pfizer
15-04-2020,36.06,36.23,35.58,35.97,20217766,Healthcare,Pfizer
14-04-2020,35.93,36.63,35.335,36.44,20721415,Healthcare,Pfizer
13-04-2020,35.96,35.98,34.72,35.14,17327516,Healthcare,Pfizer
09-04-2020,35.03,35.7673,34.85,35.39,29074991,Healthcare,Pfizer
08-04-2020,33.99,34.8,33.44,34.6,24200145,Healthcare,Pfizer
07-04-2020,35,35.17,33.59,33.61,22977142,Healthcare,Pfizer
06-04-2020,33.92,34.9,33.78,34.57,38420777,Healthcare,Pfizer
03-04-2020,32.63,33.89,32.63,33.64,31150556,Healthcare,Pfizer
02-04-2020,31.9,33,31.75,32.87,25772595,Healthcare,Pfizer
01-04-2020,31.92,32.28,31.53,31.75,25337168,Healthcare,Pfizer
24-04-2020,287.29,291.9,284,291.29,3243700,Healthcare,UnitedHealth Group
23-04-2020,279.06,288.46,278.54,285.33,4417842,Healthcare,UnitedHealth Group
22-04-2020,279.58,283.82,276.71,277.02,3663332,Healthcare,UnitedHealth Group
21-04-2020,274.95,280,273.25,274.19,3975331,Healthcare,UnitedHealth Group
20-04-2020,285.3,289.0086,281.27,282.14,4071143,Healthcare,UnitedHealth Group
17-04-2020,300.99,304,287.1,290.56,5856978,Healthcare,UnitedHealth Group
16-04-2020,283.44,300,280.01,298.43,7735550,Healthcare,UnitedHealth Group
15-04-2020,276.33,282.99,270.68,281.68,7839788,Healthcare,UnitedHealth Group
